,id,JudulSkripsi,abstract,keyword,NamaPeneliti,Tahun,ProgramStudi,judul_cleaned,judul_tokenized,judul_lower,judul_no_stopwords,judul_stemmed,cluster_label,rata_rata_jarak_antar_dokumen_dalam_satu_kluster,rata_rata_jarak_antar_dokumen_dengan_kluster_lain
10,11,Sistem Informasi Monitoring Kehadiran Pegawai Pada Seksi Pengendalian Dan Ketertiban Dinas Perhubungan Kota Samarinda Berbasis Online,,,Dean Swarna Dwipa,2019,Teknik Informatika,Sistem Informasi Monitoring Kehadiran Pegawai Pada Seksi Pengendalian Dan Ketertiban Dinas Perhubungan Kota Samarinda Berbasis Online,"Sistem, Informasi, Monitoring, Kehadiran, Pegawai, Pada, Seksi, Pengendalian, Dan, Ketertiban, Dinas, Perhubungan, Kota, Samarinda, Berbasis, Online","sistem, informasi, monitoring, kehadiran, pegawai, pada, seksi, pengendalian, dan, ketertiban, dinas, perhubungan, kota, samarinda, berbasis, online","sistem, informasi, monitoring, kehadiran, pegawai, seksi, pengendalian, ketertiban, dinas, perhubungan, kota, samarinda, berbasis, online",sistem informasi monitoring hadir pegawai seksi kendali tertib dinas hubung kota samarinda bas online,2,0.8918077968478337,0.9593857318931265
11,12,Implementasi Pengenalan Pola Tanda Tangan Menggunakan Jaringan Syaraf Tiruan Learning Vector Quantization (Lvq),,,M. Irwan Ukkas,2019,Sistem Informasi,Implementasi Pengenalan Pola Tanda Tangan Menggunakan Jaringan Syaraf Tiruan Learning Vector Quantization Lvq,"Implementasi, Pengenalan, Pola, Tanda, Tangan, Menggunakan, Jaringan, Syaraf, Tiruan, Learning, Vector, Quantization, Lvq","implementasi, pengenalan, pola, tanda, tangan, menggunakan, jaringan, syaraf, tiruan, learning, vector, quantization, lvq","implementasi, pengenalan, pola, tanda, tangan, jaringan, syaraf, tiruan, learning, vector, quantization, lvq",implementasi kenal pola tanda tangan jaring syaraf tiru learning vector quantization lvq,3,0.875,0.986659551708159
12,13,Sistem Pendukung Keputusan Penerimaan Teller Pada Bank Bri Menggunkan Metode Smarter Berbasis Web,,,Muhammad Suriansyah,2019,Sistem Informasi,Sistem Pendukung Keputusan Penerimaan Teller Pada Bank Bri Menggunkan Metode Smarter Berbasis Web,"Sistem, Pendukung, Keputusan, Penerimaan, Teller, Pada, Bank, Bri, Menggunkan, Metode, Smarter, Berbasis, Web","sistem, pendukung, keputusan, penerimaan, teller, pada, bank, bri, menggunkan, metode, smarter, berbasis, web","sistem, pendukung, keputusan, penerimaan, teller, bank, bri, menggunkan, metode, smarter, berbasis, web",sistem dukung putus terima teller bank bri gun metode smarter bas web,2,0.8951066914285315,0.9518276730887009
13,14,Membangun Game Jojo Adventure Platform Berbasis Android,,,Rasim Delik,2019,Sistem Informasi,Membangun Game Jojo Adventure Platform Berbasis Android,"Membangun, Game, Jojo, Adventure, Platform, Berbasis, Android","membangun, game, jojo, adventure, platform, berbasis, android","membangun, game, jojo, adventure, platform, berbasis, android",bangun game jojo adventure platform bas android,1,0.859694416330653,0.9780853996441844
14,15,Sistem Informasi Pemesanan Jasa Percetakan Pada Cv.Semoga Sukses Samarinda Berbasis Web,,,Sefty Wijayanti,2019,Sistem Informasi,Sistem Informasi Pemesanan Jasa Percetakan Pada CvSemoga Sukses Samarinda Berbasis Web,"Sistem, Informasi, Pemesanan, Jasa, Percetakan, Pada, CvSemoga, Sukses, Samarinda, Berbasis, Web","sistem, informasi, pemesanan, jasa, percetakan, pada, cvsemoga, sukses, samarinda, berbasis, web","sistem, informasi, pemesanan, jasa, percetakan, cvsemoga, sukses, samarinda, berbasis, web",sistem informasi mesan jasa cetak cvsemoga sukses samarinda bas web,2,0.878380534634399,0.9567696043943962
15,16,Membangun E-Commerce Oleh-Oleh Khas Kota Samarinda Studi Kasus Pada Umkm Kios Andi 89,,,Ekawati Yulsilviana,2019,Sistem Informasi,Membangun ECommerce OlehOleh Khas Kota Samarinda Studi Kasus Pada Umkm Kios Andi ,"Membangun, ECommerce, OlehOleh, Khas, Kota, Samarinda, Studi, Kasus, Pada, Umkm, Kios, Andi","membangun, ecommerce, oleholeh, khas, kota, samarinda, studi, kasus, pada, umkm, kios, andi","membangun, ecommerce, oleholeh, khas, kota, samarinda, studi, umkm, kios, andi",bangun ecommerce oleholeh khas kota samarinda studi umkm kios andi,1,0.8759896775675522,0.9824536706319347
16,17,Aplikasi Pembelajaran Rambu-Rambu Lalu Lintas Berbasis Multimedia,,,Irawan Satriawan Wibowo,2018,Manajemen Informatika,Aplikasi Pembelajaran RambuRambu Lalu Lintas Berbasis Multimedia,"Aplikasi, Pembelajaran, RambuRambu, Lalu, Lintas, Berbasis, Multimedia","aplikasi, pembelajaran, ramburambu, lalu, lintas, berbasis, multimedia","aplikasi, pembelajaran, ramburambu, lintas, berbasis, multimedia",aplikasi ajar ramburambu lintas bas multimedia,2,0.8841158374238729,0.9584277853441392
17,18,Membangun Aplikasi Pengenalan Huruf Alfabet Dengan Augmented Reality Pada Lembaga Kursusdan Pelatihan Edu Global Samarinda,,,Basrie,2018,Manajemen Informatika,Membangun Aplikasi Pengenalan Huruf Alfabet Dengan Augmented Reality Pada Lembaga Kursusdan Pelatihan Edu Global Samarinda,"Membangun, Aplikasi, Pengenalan, Huruf, Alfabet, Dengan, Augmented, Reality, Pada, Lembaga, Kursusdan, Pelatihan, Edu, Global, Samarinda","membangun, aplikasi, pengenalan, huruf, alfabet, dengan, augmented, reality, pada, lembaga, kursusdan, pelatihan, edu, global, samarinda","membangun, aplikasi, pengenalan, huruf, alfabet, augmented, reality, lembaga, kursusdan, pelatihan, edu, global, samarinda",bangun aplikasi kenal huruf alfabet augmented reality lembaga kursusdan latih edu global samarinda,1,0.8519524400499655,0.966368601818666
18,19,Aplikasi Surat Masuk Dan Surat Keluar Pada Smk Negeri 5 Samarinda Berbasis Website,,,Hariyanti,2018,Manajemen Informatika,Aplikasi Surat Masuk Dan Surat Keluar Pada Smk Negeri  Samarinda Berbasis Website,"Aplikasi, Surat, Masuk, Dan, Surat, Keluar, Pada, Smk, Negeri, Samarinda, Berbasis, Website","aplikasi, surat, masuk, dan, surat, keluar, pada, smk, negeri, samarinda, berbasis, website","aplikasi, surat, masuk, surat, smk, negeri, samarinda, berbasis, website",aplikasi surat masuk surat smk negeri samarinda bas website,4,0.888436976589431,0.9528755958678442
19,20,Membangun Website Pada Smpn 5 Sangkulirang,,,Nor Maria,2018,Manajemen Informatika,Membangun Website Pada Smpn  Sangkulirang,"Membangun, Website, Pada, Smpn, Sangkulirang","membangun, website, pada, smpn, sangkulirang","membangun, website, smpn, sangkulirang",bangun website smpn sangkulirang,1,0.8346202331870956,0.9881967340633402
20,21,"Membangun Aplikasi Pembelajaran Pengenalan Perangkat Keras Komputer Dengan Augmented Reality (Studi Kasus: Smk Bhakti Loa Janan, Kutai Kartanegara)",,,Salmon,2018,Manajemen Informatika,Membangun Aplikasi Pembelajaran Pengenalan Perangkat Keras Komputer Dengan Augmented Reality Studi Kasus Smk Bhakti Loa Janan Kutai Kartanegara,"Membangun, Aplikasi, Pembelajaran, Pengenalan, Perangkat, Keras, Komputer, Dengan, Augmented, Reality, Studi, Kasus, Smk, Bhakti, Loa, Janan, Kutai, Kartanegara","membangun, aplikasi, pembelajaran, pengenalan, perangkat, keras, komputer, dengan, augmented, reality, studi, kasus, smk, bhakti, loa, janan, kutai, kartanegara","membangun, aplikasi, pembelajaran, pengenalan, perangkat, keras, komputer, augmented, reality, studi, smk, bhakti, loa, janan, kutai, kartanegara",bangun aplikasi ajar kenal perangkat keras komputer augmented reality studi smk bhakti loa janan kuta kartanegara,4,0.9094000509893151,0.9507330586796251
21,22,Membangun Aplikasi Pengenalan Hewan Dengan Augmented Reality Pada Sd Negeri 009 Loa Janan Ilir,,,Ahmad Nafarin,2018,Manajemen Informatika,Membangun Aplikasi Pengenalan Hewan Dengan Augmented Reality Pada Sd Negeri  Loa Janan Ilir,"Membangun, Aplikasi, Pengenalan, Hewan, Dengan, Augmented, Reality, Pada, Sd, Negeri, Loa, Janan, Ilir","membangun, aplikasi, pengenalan, hewan, dengan, augmented, reality, pada, sd, negeri, loa, janan, ilir","membangun, aplikasi, pengenalan, hewan, augmented, reality, sd, negeri, loa, janan, ilir",bangun aplikasi kenal hewan augmented reality sd negeri loa janan ilir,4,0.8971586073967115,0.9469934768050183
22,23,Aplikasi Pemasaran Perumahan Pada Kantor Mahakam Grande Berbasis Web,,,Rizky Amalia,2018,Manajemen Informatika,Aplikasi Pemasaran Perumahan Pada Kantor Mahakam Grande Berbasis Web,"Aplikasi, Pemasaran, Perumahan, Pada, Kantor, Mahakam, Grande, Berbasis, Web","aplikasi, pemasaran, perumahan, pada, kantor, mahakam, grande, berbasis, web","aplikasi, pemasaran, perumahan, kantor, mahakam, grande, berbasis, web",aplikasi pasar rumah kantor mahakam grande bas web,2,0.89315187790707,0.9627152706132316
23,24,Game Edukasi Drag And Drop Budaya Nusantara Untuk Siswa Sekolah Dasar,,,Muhammad Eko Wahyu Setiawan,2018,Manajemen Informatika,Game Edukasi Drag And Drop Budaya Nusantara Untuk Siswa Sekolah Dasar,"Game, Edukasi, Drag, And, Drop, Budaya, Nusantara, Untuk, Siswa, Sekolah, Dasar","game, edukasi, drag, and, drop, budaya, nusantara, untuk, siswa, sekolah, dasar","game, edukasi, drag, and, drop, budaya, nusantara, siswa, sekolah, dasar",game edukasi drag and drop budaya nusantara siswa sekolah dasar,4,0.9472714913451455,0.9922107084962878
24,25,Membangun Website Pada Toko Borgol Samarinda,,,Tamiruddin,2018,Manajemen Informatika,Membangun Website Pada Toko Borgol Samarinda,"Membangun, Website, Pada, Toko, Borgol, Samarinda","membangun, website, pada, toko, borgol, samarinda","membangun, website, toko, borgol, samarinda",bangun website toko borgol samarinda,1,0.8227125769380638,0.9735477961218268
25,26,Aplikasi Pendaftaran Siswa Baru Pada Sd Islam Al-Azhar 47 Samarinda Berbasis Web,,,Ismail Usri,2018,Manajemen Informatika,Aplikasi Pendaftaran Siswa Baru Pada Sd Islam AlAzhar  Samarinda Berbasis Web,"Aplikasi, Pendaftaran, Siswa, Baru, Pada, Sd, Islam, AlAzhar, Samarinda, Berbasis, Web","aplikasi, pendaftaran, siswa, baru, pada, sd, islam, alazhar, samarinda, berbasis, web","aplikasi, pendaftaran, siswa, sd, islam, alazhar, samarinda, berbasis, web",aplikasi daftar siswa sd islam alazhar samarinda bas web,4,0.8822663290128908,0.9561961685310137
26,27,Membangun Proxy Server Dan Manajemen Bandwidth Pada Jaringan Komputer Dengan Winbox Menggunakan Router Mikrotik,,,Jumar Wanto,2018,Teknik Informatika,Membangun Proxy Server Dan Manajemen Bandwidth Pada Jaringan Komputer Dengan Winbox Menggunakan Router Mikrotik,"Membangun, Proxy, Server, Dan, Manajemen, Bandwidth, Pada, Jaringan, Komputer, Dengan, Winbox, Menggunakan, Router, Mikrotik","membangun, proxy, server, dan, manajemen, bandwidth, pada, jaringan, komputer, dengan, winbox, menggunakan, router, mikrotik","membangun, proxy, server, manajemen, bandwidth, jaringan, komputer, winbox, router, mikrotik",bangun proxy server manajemen bandwidth jaring komputer winbox router mikrotik,1,0.8855414939638697,0.989670875830304
27,28,Sistem Pendukung Keputusan Pemilihan Bahan Baku Ayam Terbaik Untuk Usaha Rumah Makan Ibu Nur Menggunakan Metode Perbandingan Eksponensial (Mpe) Berbasis Visual,,,Muhammad Aenur Rochim,2018,Teknik Informatika,Sistem Pendukung Keputusan Pemilihan Bahan Baku Ayam Terbaik Untuk Usaha Rumah Makan Ibu Nur Menggunakan Metode Perbandingan Eksponensial Mpe Berbasis Visual,"Sistem, Pendukung, Keputusan, Pemilihan, Bahan, Baku, Ayam, Terbaik, Untuk, Usaha, Rumah, Makan, Ibu, Nur, Menggunakan, Metode, Perbandingan, Eksponensial, Mpe, Berbasis, Visual","sistem, pendukung, keputusan, pemilihan, bahan, baku, ayam, terbaik, untuk, usaha, rumah, makan, ibu, nur, menggunakan, metode, perbandingan, eksponensial, mpe, berbasis, visual","sistem, pendukung, keputusan, pemilihan, bahan, baku, ayam, terbaik, usaha, rumah, makan, nur, metode, perbandingan, eksponensial, mpe, berbasis, visual",sistem dukung putus pilih bahan baku ayam baik usaha rumah makan nur metode banding eksponensial mpe bas visual,4,0.8983212341682315,0.9706703914736542
28,29,Perbandingan Implementasi Metode Naļve Bayes Dan C4.5 Dalam Pengklasifikasian Gaya Belajar Siswa Pada Sd Muhammadiyah 4 Terpadu,,,Gustaf Dwi Prie Anugrah,2018,Teknik Informatika,Perbandingan Implementasi Metode Nave Bayes Dan C Dalam Pengklasifikasian Gaya Belajar Siswa Pada Sd Muhammadiyah  Terpadu,"Perbandingan, Implementasi, Metode, Nave, Bayes, Dan, C, Dalam, Pengklasifikasian, Gaya, Belajar, Siswa, Pada, Sd, Muhammadiyah, Terpadu","perbandingan, implementasi, metode, nave, bayes, dan, c, dalam, pengklasifikasian, gaya, belajar, siswa, pada, sd, muhammadiyah, terpadu","perbandingan, implementasi, metode, nave, bayes, c, pengklasifikasian, gaya, belajar, siswa, sd, muhammadiyah, terpadu",banding implementasi metode nave bayes c klasifikasi gaya ajar siswa sd muhammadiyah padu,4,0.9106086502138131,0.9857156300393789
29,30,Membangun Policy-Based Routing Pada Jaringan Vpn Dan Astinet Menggunakan Mikrotik (Studi Kasus : Balai Besar Pengawas Obat Dan Makanan Kota Samarinda),,,Rahmansyah,2018,Teknik Informatika,Membangun PolicyBased Routing Pada Jaringan Vpn Dan Astinet Menggunakan Mikrotik Studi Kasus  Balai Besar Pengawas Obat Dan Makanan Kota Samarinda,"Membangun, PolicyBased, Routing, Pada, Jaringan, Vpn, Dan, Astinet, Menggunakan, Mikrotik, Studi, Kasus, Balai, Besar, Pengawas, Obat, Dan, Makanan, Kota, Samarinda","membangun, policybased, routing, pada, jaringan, vpn, dan, astinet, menggunakan, mikrotik, studi, kasus, balai, besar, pengawas, obat, dan, makanan, kota, samarinda","membangun, policybased, routing, jaringan, vpn, astinet, mikrotik, studi, balai, pengawas, obat, makanan, kota, samarinda",bangun policybased routing jaring vpn astinet mikrotik studi balai awas obat makan kota samarinda,1,0.8706414881537813,0.9809875624093979
30,31,Membangun Pengenalan Hewan Augmented Reality Berbasis Android Menggunakan Vuforia,,,Zulfikar Fitri Istyanto,2018,Teknik Informatika,Membangun Pengenalan Hewan Augmented Reality Berbasis Android Menggunakan Vuforia,"Membangun, Pengenalan, Hewan, Augmented, Reality, Berbasis, Android, Menggunakan, Vuforia","membangun, pengenalan, hewan, augmented, reality, berbasis, android, menggunakan, vuforia","membangun, pengenalan, hewan, augmented, reality, berbasis, android, vuforia",bangun kenal hewan augmented reality bas android vuforia,1,0.7835852649769562,0.9626114003924922
31,32,Implementasi Skala Likert Seleksi Karyawan Baru Dengan Metode Fuzzy Tsukamoto Berbasis Web (Studi Kasus Pada Pt Telkom Akses Area Samarinda),,,Tendi Riandi,2018,Teknik Informatika,Implementasi Skala Likert Seleksi Karyawan Baru Dengan Metode Fuzzy Tsukamoto Berbasis Web Studi Kasus Pada Pt Telkom Akses Area Samarinda,"Implementasi, Skala, Likert, Seleksi, Karyawan, Baru, Dengan, Metode, Fuzzy, Tsukamoto, Berbasis, Web, Studi, Kasus, Pada, Pt, Telkom, Akses, Area, Samarinda","implementasi, skala, likert, seleksi, karyawan, baru, dengan, metode, fuzzy, tsukamoto, berbasis, web, studi, kasus, pada, pt, telkom, akses, area, samarinda","implementasi, skala, likert, seleksi, karyawan, metode, fuzzy, tsukamoto, berbasis, web, studi, pt, telkom, akses, area, samarinda",implementasi skala likert seleksi karyawan metode fuzzy tsukamoto bas web studi pt telkom akses area samarinda,2,0.8819275888326583,0.9504681386601508
32,33,Implementasi Simple Additive Weighting (Saw) Untuk Menentukan Kenaikan Gaji Guru Honorer Pada Sdn 011 Tenggarong Seberang Berbasis Vb.Net,,,I Wayan Andi Saputra Dayana,2018,Teknik Informatika,Implementasi Simple Additive Weighting Saw Untuk Menentukan Kenaikan Gaji Guru Honorer Pada Sdn  Tenggarong Seberang Berbasis VbNet,"Implementasi, Simple, Additive, Weighting, Saw, Untuk, Menentukan, Kenaikan, Gaji, Guru, Honorer, Pada, Sdn, Tenggarong, Seberang, Berbasis, VbNet","implementasi, simple, additive, weighting, saw, untuk, menentukan, kenaikan, gaji, guru, honorer, pada, sdn, tenggarong, seberang, berbasis, vbnet","implementasi, simple, additive, weighting, saw, menentukan, kenaikan, gaji, guru, honorer, sdn, tenggarong, seberang, berbasis, vbnet",implementasi simple additive weighting saw tentu naik gaji guru honorer sdn tenggarong seberang bas vbnet,2,0.9141832788834378,0.9762669390673455
33,34,Penerapan Metode Promethee Dalam Menentukan Pegawai Teladan Pada Pt.Telkom Akses,,,Taufikkuridho,2018,Teknik Informatika,Penerapan Metode Promethee Dalam Menentukan Pegawai Teladan Pada PtTelkom Akses,"Penerapan, Metode, Promethee, Dalam, Menentukan, Pegawai, Teladan, Pada, PtTelkom, Akses","penerapan, metode, promethee, dalam, menentukan, pegawai, teladan, pada, pttelkom, akses","penerapan, metode, promethee, menentukan, pegawai, teladan, pttelkom, akses",terap metode promethee tentu pegawai teladan pttelkom akses,2,0.9164957980377387,0.9802596896348049
34,35,Sistem Informasi Pengelolaan Media Pembelajaran Berbasis Intranet Pada Smp Negeri 7 Samarinda,,,Dewi Sulistyowati,2018,Teknik Informatika,Sistem Informasi Pengelolaan Media Pembelajaran Berbasis Intranet Pada Smp Negeri  Samarinda,"Sistem, Informasi, Pengelolaan, Media, Pembelajaran, Berbasis, Intranet, Pada, Smp, Negeri, Samarinda","sistem, informasi, pengelolaan, media, pembelajaran, berbasis, intranet, pada, smp, negeri, samarinda","sistem, informasi, pengelolaan, media, pembelajaran, berbasis, intranet, smp, negeri, samarinda",sistem informasi kelola media ajar bas intranet smp negeri samarinda,4,0.8870966321066726,0.9492729183578539
35,36,Sistem Pendukung Keputusan Pemilihan Karyawan Berprestasi Pada Pt. Pelindo Iv (Persero) Cabang Samarinda Menggunakan Metode Analytical Hierarchy Process (Ahp),,,Joana Mandasari,2018,Teknik Informatika,Sistem Pendukung Keputusan Pemilihan Karyawan Berprestasi Pada Pt Pelindo Iv Persero Cabang Samarinda Menggunakan Metode Analytical Hierarchy Process Ahp,"Sistem, Pendukung, Keputusan, Pemilihan, Karyawan, Berprestasi, Pada, Pt, Pelindo, Iv, Persero, Cabang, Samarinda, Menggunakan, Metode, Analytical, Hierarchy, Process, Ahp","sistem, pendukung, keputusan, pemilihan, karyawan, berprestasi, pada, pt, pelindo, iv, persero, cabang, samarinda, menggunakan, metode, analytical, hierarchy, process, ahp","sistem, pendukung, keputusan, pemilihan, karyawan, berprestasi, pt, pelindo, iv, persero, cabang, samarinda, metode, analytical, hierarchy, process, ahp",sistem dukung putus pilih karyawan prestasi pt pelindo iv persero cabang samarinda metode analytical hierarchy process ahp,4,0.8950384467467423,0.9705058329533651
